name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
carigali hess operating company sdn bhd,,,oil & energy,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/carigali-hess-operating-company-sdn-bhd,248,578
mahsa university,mahsa.edu.my,2005.0,higher education,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/mahsa,243,348
uce international group,uceintl.com,1998.0,telecommunications,501 - 1000,"cheras, selangor, malaysia",malaysia,linkedin.com/company/uce-telecom-solutions,243,743
composite technology research malaysia - ctrm,ctrm.com.my,,airlines/aviation,501 - 1000,"batu berendam, melaka, malaysia",malaysia,linkedin.com/company/composite-technology-research-malaysia---ctrm,243,451
axa affin general insurance berhad,axa.com.my,1975.0,insurance,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/axa-affin-general-insurance,242,372
ayamas food corp | kfc holdings malaysia berhad | qsr brands berhad,qsrbrands.com,,food & beverages,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/ayamas-food-corp-kfc-holdings-malaysia-berhad-qsr-brands-berhad,241,573
averis sdn bhd,averis.biz,2006.0,outsourcing/offshoring,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/averis-sdn-bhd,240,538
hong leong assurance berhad,hla.com.my,1972.0,financial services,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/hong-leong-assurance-berhad,237,483
edotco group,edotcogroup.com,2012.0,telecommunications,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/e-co-group-sdn-bhd,236,298
elabram systems,elabram.com,1999.0,telecommunications,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/elabram-systems,234,563
trueventus,trueventus.com,2008.0,events services,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/trueventus,230,437
royal malaysian navy,navy.mil.my,,military,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/royal-malaysian-navy,228,402
mah sing group berhad,mahsing.com.my,,real estate,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/mah-sing-group-berhad,227,403
emery oleochemicals,emeryoleo.com,1840.0,chemicals,501 - 1000,"telok panglima garang, selangor, malaysia",malaysia,linkedin.com/company/emery-oleochemicals,225,424
westports malaysia,westportsmalaysia.com,1994.0,maritime,501 - 1000,"port klang, selangor, malaysia",malaysia,linkedin.com/company/westports-malaysia,224,418
kebabangan petroleum operating company sdn. bhd. (kpoc),,2007.0,oil & energy,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/kebabangan-petroleum-operating-company,221,423
appco group asia,appcogroup.asia,1995.0,marketing and advertising,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/appcogroupasia,220,1105
kenanga group,kenanga.com.my,1973.0,financial services,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/kenanga,216,407
curtin university sarawak,curtin.edu.my,1998.0,higher education,501 - 1000,"miri, sarawak, malaysia",malaysia,linkedin.com/company/curtin-university,215,418
sunway group,,1974.0,construction,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/sunway-group,214,579
reapfield properties sdn bhd (group),reapfield.com,1984.0,real estate,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/reapfield-properties-penang-sdn-bhd,213,276
tourism malaysia,tourism.gov.my,1972.0,"leisure, travel & tourism",501 - 1000,"vancouver, british columbia, canada",malaysia,linkedin.com/company/tourism-malaysia,212,383
mcis insurance berhad,mciszurich.com.my,1955.0,insurance,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/mcis-zurich,210,350
uem edgenta berhad,uemedgenta.com,1963.0,facilities services,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/uem-edgenta-berhad,209,340
icar asia limited,icarasia.com,2012.0,internet,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/icar-asia-limited,207,397
the international school of kuala lumpur,iskl.edu.my,1965.0,education management,501 - 1000,"ampang, selangor, malaysia",malaysia,linkedin.com/company/the-international-school-of-kuala-lumpur,206,363
matrade,matrade.gov.my,1992.0,international trade and development,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/matrade,206,401
umw corporation sdn bhd,umw.com.my,1917.0,consumer goods,501 - 1000,"shah alam, selangor, malaysia",malaysia,linkedin.com/company/umw-corporation-sdn-bhd,206,378
aig global services (malaysia),aiggs.com.my,1998.0,information technology and services,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/aig-global-services-malaysia-,204,438
dayang enterprise sdn bhd,desb.net,1980.0,oil & energy,501 - 1000,"miri, sarawak, malaysia",malaysia,linkedin.com/company/dayang-enterprise-sdn-bhd,204,391
sunway university,sunway.edu.my,1987.0,higher education,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/sunway-university,203,345
garden international school,gardenschool.edu.my,1951.0,education management,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/garden-international-school,202,401
sime darby plantation sdn bhd,simedarbyplantation.com,2007.0,farming,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/sime-darby-plantation-sdn-bhd,201,392
swinburne university of technology sarawak campus,swinburne.edu.my,2000.0,higher education,501 - 1000,"kuching, sarawak, malaysia",malaysia,linkedin.com/company/swinburne-university-of-technology-sarawak-campus,197,362
chemical company of malaysia berhad,ccmberhad.com,1963.0,chemicals,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/chemical-company-of-malaysia-berhad,195,433
kinsajasa sendirian berhad,kinsajasa.com,1999.0,oil & energy,501 - 1000,"miri, sarawak, malaysia",malaysia,linkedin.com/company/kinsajasa-sendirian-berhad,194,218
webe digital,webe.com.my,2016.0,telecommunications,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/webedigital,192,278
takaful ikhlas berhad,takaful-ikhlas.com.my,2002.0,insurance,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/takaful-ikhl,188,285
